País de residencia;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Resto del Mundo;Tasa de variación acumulada;Duración media de los viajes;2015M12;""
Resto del Mundo;Tasa de variación acumulada;Duración media de los viajes;2015M11;""
Resto del Mundo;Tasa de variación acumulada;Duración media de los viajes;2015M10;-2,77
Alemania;Dato base;Gasto total;2026M07;1.750,66
Alemania;Dato base;Gasto total;2026M06;1.501,50
Alemania;Dato base;Gasto total;2026M05;1.510,19
Alemania;Dato base;Gasto total;2026M04;1.464,56
Alemania;Dato base;Gasto total;2026M03;1.282,67
Alemania;Dato base;Gasto total;2026M02;904,08
Alemania;Dato base;Gasto total;2026M01;825,65
Alemania;Dato base;Gasto total;2025M12;888,69
Alemania;Dato base;Gasto total;2025M11;948,05
Alemania;Dato base;Gasto total;2025M10;1.614,19
Alemania;Dato base;Gasto total;2025M09;1.680,71
Alemania;Dato base;Gasto total;2025M08;1.825,03
Alemania;Dato base;Gasto total;2025M07;1.570,13
Alemania;Dato base;Gasto total;2025M06;1.501,23
Alemania;Dato base;Gasto total;2025M05;1.332,22
Alemania;Dato base;Gasto total;2025M04;1.604,04
Alemania;Dato base;Gasto total;2025M03;1.280,79
Alemania;Dato base;Gasto total;2025M02;837,14
Alemania;Dato base;Gasto total;2025M01;791,15
Alemania;Dato base;Gasto total;2024M12;950,14
Alemania;Dato base;Gasto total;2024M11;956,05
Alemania;Dato base;Gasto total;2024M10;1.666,19
Alemania;Dato base;Gasto total;2024M09;1.651,34
Alemania;Dato base;Gasto total;2024M08;1.661,18
Alemania;Dato base;Gasto total;2024M07;1.662,93
Alemania;Dato base;Gasto total;2024M06;1.372,98
Alemania;Dato base;Gasto total;2024M05;1.413,55
Alemania;Dato base;Gasto total;2024M04;1.400,08
Alemania;Dato base;Gasto total;2024M03;1.207,92
Alemania;Dato base;Gasto total;2024M02;825,36
Alemania;Dato base;Gasto total;2024M01;747,64
Alemania;Dato base;Gasto total;2023M12;790,70
Alemania;Dato base;Gasto total;2023M11;796,85
Alemania;Dato base;Gasto total;2023M10;1.349,96
Alemania;Dato base;Gasto total;2023M09;1.515,14
Alemania;Dato base;Gasto total;2023M08;1.444,49
Alemania;Dato base;Gasto total;2023M07;1.434,75
Alemania;Dato base;Gasto total;2023M06;1.335,63
Alemania;Dato base;Gasto total;2023M05;1.196,23
Alemania;Dato base;Gasto total;2023M04;1.251,92
Alemania;Dato base;Gasto total;2023M03;831,95
Alemania;Dato base;Gasto total;2023M02;660,57
Alemania;Dato base;Gasto total;2023M01;596,47
Alemania;Dato base;Gasto total;2022M12;614,42
Alemania;Dato base;Gasto total;2022M11;685,16
Alemania;Dato base;Gasto total;2022M10;1.180,55
Alemania;Dato base;Gasto total;2022M09;1.284,46
Alemania;Dato base;Gasto total;2022M08;1.327,09
Alemania;Dato base;Gasto total;2022M07;1.343,73
Alemania;Dato base;Gasto total;2022M06;1.251,18
Alemania;Dato base;Gasto total;2022M05;1.083,85
Alemania;Dato base;Gasto total;2022M04;1.100,89
Alemania;Dato base;Gasto total;2022M03;767,08
Alemania;Dato base;Gasto total;2022M02;489,79
Alemania;Dato base;Gasto total;2022M01;398,24
Alemania;Dato base;Gasto total;2021M12;492,37
Alemania;Dato base;Gasto total;2021M11;591,24
Alemania;Dato base;Gasto total;2021M10;1.082,80
Alemania;Dato base;Gasto total;2021M09;960,14
Alemania;Dato base;Gasto total;2021M08;765,14
Alemania;Dato base;Gasto total;2021M07;856,09
Alemania;Dato base;Gasto total;2021M06;555,20
Alemania;Dato base;Gasto total;2021M05;358,82
Alemania;Dato base;Gasto total;2021M04;150,10
Alemania;Dato base;Gasto total;2021M03;117,52
Alemania;Dato base;Gasto total;2021M02;46,46
Alemania;Dato base;Gasto total;2021M01;58,68
Alemania;Dato base;Gasto total;2020M12;106,75
Alemania;Dato base;Gasto total;2020M11;86,75
Alemania;Dato base;Gasto total;2020M10;87,01
Alemania;Dato base;Gasto total;2020M09;90,05
Alemania;Dato base;Gasto total;2020M08;326,82
Alemania;Dato base;Gasto total;2020M07;454,64
Alemania;Dato base;Gasto total;2020M06;30,94
Alemania;Dato base;Gasto total;2020M05;0,00
Alemania;Dato base;Gasto total;2020M04;0,00
Alemania;Dato base;Gasto total;2020M03;286,34
Alemania;Dato base;Gasto total;2020M02;581,99
Alemania;Dato base;Gasto total;2020M01;570,01
Alemania;Dato base;Gasto total;2019M12;571,02
Alemania;Dato base;Gasto total;2019M11;619,00
Alemania;Dato base;Gasto total;2019M10;1.190,15
Alemania;Dato base;Gasto total;2019M09;1.312,56
Alemania;Dato base;Gasto total;2019M08;1.297,59
Alemania;Dato base;Gasto total;2019M07;1.406,20
Alemania;Dato base;Gasto total;2019M06;1.289,89
Alemania;Dato base;Gasto total;2019M05;1.031,95
Alemania;Dato base;Gasto total;2019M04;1.029,67
Alemania;Dato base;Gasto total;2019M03;823,61
Alemania;Dato base;Gasto total;2019M02;564,28
Alemania;Dato base;Gasto total;2019M01;550,67
Alemania;Dato base;Gasto total;2018M12;581,64
Alemania;Dato base;Gasto total;2018M11;621,67
Alemania;Dato base;Gasto total;2018M10;1.272,41
Alemania;Dato base;Gasto total;2018M09;1.439,29
Alemania;Dato base;Gasto total;2018M08;1.454,57
Alemania;Dato base;Gasto total;2018M07;1.404,88
Alemania;Dato base;Gasto total;2018M06;1.213,70
Alemania;Dato base;Gasto total;2018M05;1.155,19
Alemania;Dato base;Gasto total;2018M04;892,16
Alemania;Dato base;Gasto total;2018M03;856,06
Alemania;Dato base;Gasto total;2018M02;543,53
Alemania;Dato base;Gasto total;2018M01;541,60
Alemania;Dato base;Gasto total;2017M12;528,64
Alemania;Dato base;Gasto total;2017M11;616,90
Alemania;Dato base;Gasto total;2017M10;1.247,24
Alemania;Dato base;Gasto total;2017M09;1.448,11
Alemania;Dato base;Gasto total;2017M08;1.518,84
Alemania;Dato base;Gasto total;2017M07;1.496,58
Alemania;Dato base;Gasto total;2017M06;1.405,34
Alemania;Dato base;Gasto total;2017M05;1.106,28
Alemania;Dato base;Gasto total;2017M04;1.106,29
Alemania;Dato base;Gasto total;2017M03;703,29
Alemania;Dato base;Gasto total;2017M02;531,38
Alemania;Dato base;Gasto total;2017M01;524,54
Alemania;Dato base;Gasto total;2016M12;507,34
Alemania;Dato base;Gasto total;2016M11;529,47
Alemania;Dato base;Gasto total;2016M10;1.252,16
Alemania;Dato base;Gasto total;2016M09;1.279,46
Alemania;Dato base;Gasto total;2016M08;1.449,51
Alemania;Dato base;Gasto total;2016M07;1.328,19
Alemania;Dato base;Gasto total;2016M06;1.180,99
Alemania;Dato base;Gasto total;2016M05;1.106,14
Alemania;Dato base;Gasto total;2016M04;811,79
Alemania;Dato base;Gasto total;2016M03;709,67
Alemania;Dato base;Gasto total;2016M02;474,44
Alemania;Dato base;Gasto total;2016M01;469,04
Alemania;Dato base;Gasto total;2015M12;419,04
Alemania;Dato base;Gasto total;2015M11;512,06
Alemania;Dato base;Gasto total;2015M10;1.022,25
Alemania;Dato base;Gasto medio por persona;2026M07;1.447
Alemania;Dato base;Gasto medio por persona;2026M06;1.303
Alemania;Dato base;Gasto medio por persona;2026M05;1.197
Alemania;Dato base;Gasto medio por persona;2026M04;1.246
Alemania;Dato base;Gasto medio por persona;2026M03;1.388
Alemania;Dato base;Gasto medio por persona;2026M02;1.436
Alemania;Dato base;Gasto medio por persona;2026M01;1.566
Alemania;Dato base;Gasto medio por persona;2025M12;1.495
Alemania;Dato base;Gasto medio por persona;2025M11;1.420
Alemania;Dato base;Gasto medio por persona;2025M10;1.276
Alemania;Dato base;Gasto medio por persona;2025M09;1.280
Alemania;Dato base;Gasto medio por persona;2025M08;1.406
Alemania;Dato base;Gasto medio por persona;2025M07;1.328
Alemania;Dato base;Gasto medio por persona;2025M06;1.225
Alemania;Dato base;Gasto medio por persona;2025M05;1.151
Alemania;Dato base;Gasto medio por persona;2025M04;1.240
Alemania;Dato base;Gasto medio por persona;2025M03;1.427
Alemania;Dato base;Gasto medio por persona;2025M02;1.349
Alemania;Dato base;Gasto medio por persona;2025M01;1.471
Alemania;Dato base;Gasto medio por persona;2024M12;1.524
Alemania;Dato base;Gasto medio por persona;2024M11;1.470
Alemania;Dato base;Gasto medio por persona;2024M10;1.276
Alemania;Dato base;Gasto medio por persona;2024M09;1.257
Alemania;Dato base;Gasto medio por persona;2024M08;1.338
Alemania;Dato base;Gasto medio por persona;2024M07;1.336
Alemania;Dato base;Gasto medio por persona;2024M06;1.209
Alemania;Dato base;Gasto medio por persona;2024M05;1.146
Alemania;Dato base;Gasto medio por persona;2024M04;1.232
Alemania;Dato base;Gasto medio por persona;2024M03;1.328
Alemania;Dato base;Gasto medio por persona;2024M02;1.393
Alemania;Dato base;Gasto medio por persona;2024M01;1.357
Alemania;Dato base;Gasto medio por persona;2023M12;1.409
Alemania;Dato base;Gasto medio por persona;2023M11;1.278
Alemania;Dato base;Gasto medio por persona;2023M10;1.178
Alemania;Dato base;Gasto medio por persona;2023M09;1.170
Alemania;Dato base;Gasto medio por persona;2023M08;1.222
Alemania;Dato base;Gasto medio por persona;2023M07;1.223
Alemania;Dato base;Gasto medio por persona;2023M06;1.155
Alemania;Dato base;Gasto medio por persona;2023M05;1.063
Alemania;Dato base;Gasto medio por persona;2023M04;1.241
Alemania;Dato base;Gasto medio por persona;2023M03;1.178
Alemania;Dato base;Gasto medio por persona;2023M02;1.241
Alemania;Dato base;Gasto medio por persona;2023M01;1.243
Alemania;Dato base;Gasto medio por persona;2022M12;1.354
Alemania;Dato base;Gasto medio por persona;2022M11;1.302
Alemania;Dato base;Gasto medio por persona;2022M10;1.114
Alemania;Dato base;Gasto medio por persona;2022M09;1.125
Alemania;Dato base;Gasto medio por persona;2022M08;1.194
Alemania;Dato base;Gasto medio por persona;2022M07;1.225
Alemania;Dato base;Gasto medio por persona;2022M06;1.105
Alemania;Dato base;Gasto medio por persona;2022M05;1.110
Alemania;Dato base;Gasto medio por persona;2022M04;1.112
Alemania;Dato base;Gasto medio por persona;2022M03;1.261
Alemania;Dato base;Gasto medio por persona;2022M02;1.258
Alemania;Dato base;Gasto medio por persona;2022M01;1.412
Alemania;Dato base;Gasto medio por persona;2021M12;1.217
Alemania;Dato base;Gasto medio por persona;2021M11;1.231
Alemania;Dato base;Gasto medio por persona;2021M10;1.165
Alemania;Dato base;Gasto medio por persona;2021M09;1.152
Alemania;Dato base;Gasto medio por persona;2021M08;1.127
Alemania;Dato base;Gasto medio por persona;2021M07;1.210
Alemania;Dato base;Gasto medio por persona;2021M06;1.110
Alemania;Dato base;Gasto medio por persona;2021M05;1.059
Alemania;Dato base;Gasto medio por persona;2021M04;1.046
Alemania;Dato base;Gasto medio por persona;2021M03;1.124
Alemania;Dato base;Gasto medio por persona;2021M02;1.260
Alemania;Dato base;Gasto medio por persona;2021M01;1.148
Alemania;Dato base;Gasto medio por persona;2020M12;1.291
Alemania;Dato base;Gasto medio por persona;2020M11;1.135
Alemania;Dato base;Gasto medio por persona;2020M10;1.044
Alemania;Dato base;Gasto medio por persona;2020M09;1.022
Alemania;Dato base;Gasto medio por persona;2020M08;1.102
Alemania;Dato base;Gasto medio por persona;2020M07;1.057
Alemania;Dato base;Gasto medio por persona;2020M06;896
Alemania;Dato base;Gasto medio por persona;2020M05;0
Alemania;Dato base;Gasto medio por persona;2020M04;0
Alemania;Dato base;Gasto medio por persona;2020M03;1.049
Alemania;Dato base;Gasto medio por persona;2020M02;1.092
Alemania;Dato base;Gasto medio por persona;2020M01;1.155
Alemania;Dato base;Gasto medio por persona;2019M12;1.153
Alemania;Dato base;Gasto medio por persona;2019M11;1.088
Alemania;Dato base;Gasto medio por persona;2019M10;1.057
Alemania;Dato base;Gasto medio por persona;2019M09;1.037
Alemania;Dato base;Gasto medio por persona;2019M08;1.148
Alemania;Dato base;Gasto medio por persona;2019M07;1.131
Alemania;Dato base;Gasto medio por persona;2019M06;996
Alemania;Dato base;Gasto medio por persona;2019M05;951
Alemania;Dato base;Gasto medio por persona;2019M04;960
Alemania;Dato base;Gasto medio por persona;2019M03;1.018
Alemania;Dato base;Gasto medio por persona;2019M02;1.030
Alemania;Dato base;Gasto medio por persona;2019M01;1.064
Alemania;Dato base;Gasto medio por persona;2018M12;1.083
Alemania;Dato base;Gasto medio por persona;2018M11;1.081
Alemania;Dato base;Gasto medio por persona;2018M10;1.035
Alemania;Dato base;Gasto medio por persona;2018M09;1.056
Alemania;Dato base;Gasto medio por persona;2018M08;1.153
Alemania;Dato base;Gasto medio por persona;2018M07;1.096
Alemania;Dato base;Gasto medio por persona;2018M06;1.006
Alemania;Dato base;Gasto medio por persona;2018M05;978
Alemania;Dato base;Gasto medio por persona;2018M04;972
Alemania;Dato base;Gasto medio por persona;2018M03;1.040
Alemania;Dato base;Gasto medio por persona;2018M02;1.014
Alemania;Dato base;Gasto medio por persona;2018M01;1.078
Alemania;Dato base;Gasto medio por persona;2017M12;1.098
Alemania;Dato base;Gasto medio por persona;2017M11;1.041
Alemania;Dato base;Gasto medio por persona;2017M10;1.020
Alemania;Dato base;Gasto medio por persona;2017M09;1.031
Alemania;Dato base;Gasto medio por persona;2017M08;1.132
Alemania;Dato base;Gasto medio por persona;2017M07;1.080
Alemania;Dato base;Gasto medio por persona;2017M06;990
Alemania;Dato base;Gasto medio por persona;2017M05;929
Alemania;Dato base;Gasto medio por persona;2017M04;971
Alemania;Dato base;Gasto medio por persona;2017M03;979
Alemania;Dato base;Gasto medio por persona;2017M02;1.025
Alemania;Dato base;Gasto medio por persona;2017M01;1.088
Alemania;Dato base;Gasto medio por persona;2016M12;1.112
Alemania;Dato base;Gasto medio por persona;2016M11;971
Alemania;Dato base;Gasto medio por persona;2016M10;978
Alemania;Dato base;Gasto medio por persona;2016M09;990
Alemania;Dato base;Gasto medio por persona;2016M08;1.061
Alemania;Dato base;Gasto medio por persona;2016M07;1.025
Alemania;Dato base;Gasto medio por persona;2016M06;966
Alemania;Dato base;Gasto medio por persona;2016M05;928
Alemania;Dato base;Gasto medio por persona;2016M04;937
Alemania;Dato base;Gasto medio por persona;2016M03;962
Alemania;Dato base;Gasto medio por persona;2016M02;981
Alemania;Dato base;Gasto medio por persona;2016M01;1.000
Alemania;Dato base;Gasto medio por persona;2015M12;1.045
Alemania;Dato base;Gasto medio por persona;2015M11;1.004
Alemania;Dato base;Gasto medio por persona;2015M10;958
Alemania;Dato base;Gasto medio diario por persona;2026M07;204
Alemania;Dato base;Gasto medio diario por persona;2026M06;190
Alemania;Dato base;Gasto medio diario por persona;2026M05;201
Alemania;Dato base;Gasto medio diario por persona;2026M04;179
Alemania;Dato base;Gasto medio diario por persona;2026M03;174
Alemania;Dato base;Gasto medio diario por persona;2026M02;159
Alemania;Dato base;Gasto medio diario por persona;2026M01;145
Alemania;Dato base;Gasto medio diario por persona;2025M12;141
Alemania;Dato base;Gasto medio diario por persona;2025M11;170
Alemania;Dato base;Gasto medio diario por persona;2025M10;173
Alemania;Dato base;Gasto medio diario por persona;2025M09;170
Alemania;Dato base;Gasto medio diario por persona;2025M08;179
Alemania;Dato base;Gasto medio diario por persona;2025M07;187
Alemania;Dato base;Gasto medio diario por persona;2025M06;181
Alemania;Dato base;Gasto medio diario por persona;2025M05;190
Alemania;Dato base;Gasto medio diario por persona;2025M04;167
Alemania;Dato base;Gasto medio diario por persona;2025M03;160
Alemania;Dato base;Gasto medio diario por persona;2025M02;163
Alemania;Dato base;Gasto medio diario por persona;2025M01;138
Alemania;Dato base;Gasto medio diario por persona;2024M12;149
Alemania;Dato base;Gasto medio diario por persona;2024M11;157
Alemania;Dato base;Gasto medio diario por persona;2024M10;169
Alemania;Dato base;Gasto medio diario por persona;2024M09;172
Alemania;Dato base;Gasto medio diario por persona;2024M08;177
Alemania;Dato base;Gasto medio diario por persona;2024M07;171
Alemania;Dato base;Gasto medio diario por persona;2024M06;176
Alemania;Dato base;Gasto medio diario por persona;2024M05;178
Alemania;Dato base;Gasto medio diario por persona;2024M04;167
Alemania;Dato base;Gasto medio diario por persona;2024M03;162
Alemania;Dato base;Gasto medio diario por persona;2024M02;149
Alemania;Dato base;Gasto medio diario por persona;2024M01;131
Alemania;Dato base;Gasto medio diario por persona;2023M12;131
Alemania;Dato base;Gasto medio diario por persona;2023M11;157
Alemania;Dato base;Gasto medio diario por persona;2023M10;160
Alemania;Dato base;Gasto medio diario por persona;2023M09;163
Alemania;Dato base;Gasto medio diario por persona;2023M08;150
Alemania;Dato base;Gasto medio diario por persona;2023M07;165
Alemania;Dato base;Gasto medio diario por persona;2023M06;167
Alemania;Dato base;Gasto medio diario por persona;2023M05;170
Alemania;Dato base;Gasto medio diario por persona;2023M04;149
Alemania;Dato base;Gasto medio diario por persona;2023M03;154
Alemania;Dato base;Gasto medio diario por persona;2023M02;143
Alemania;Dato base;Gasto medio diario por persona;2023M01;127
Alemania;Dato base;Gasto medio diario por persona;2022M12;120
Alemania;Dato base;Gasto medio diario por persona;2022M11;143
Alemania;Dato base;Gasto medio diario por persona;2022M10;143
Alemania;Dato base;Gasto medio diario por persona;2022M09;155
Alemania;Dato base;Gasto medio diario por persona;2022M08;160
Alemania;Dato base;Gasto medio diario por persona;2022M07;151
Alemania;Dato base;Gasto medio diario por persona;2022M06;147
Alemania;Dato base;Gasto medio diario por persona;2022M05;161
Alemania;Dato base;Gasto medio diario por persona;2022M04;136
Alemania;Dato base;Gasto medio diario por persona;2022M03;137
Alemania;Dato base;Gasto medio diario por persona;2022M02;129
Alemania;Dato base;Gasto medio diario por persona;2022M01;118
Alemania;Dato base;Gasto medio diario por persona;2021M12;122
Alemania;Dato base;Gasto medio diario por persona;2021M11;135
Alemania;Dato base;Gasto medio diario por persona;2021M10;135
Alemania;Dato base;Gasto medio diario por persona;2021M09;134
Alemania;Dato base;Gasto medio diario por persona;2021M08;138
Alemania;Dato base;Gasto medio diario por persona;2021M07;148
Alemania;Dato base;Gasto medio diario por persona;2021M06;146
Alemania;Dato base;Gasto medio diario por persona;2021M05;132
Alemania;Dato base;Gasto medio diario por persona;2021M04;118
Alemania;Dato base;Gasto medio diario por persona;2021M03;113
Alemania;Dato base;Gasto medio diario por persona;2021M02;105
Alemania;Dato base;Gasto medio diario por persona;2021M01;105
Alemania;Dato base;Gasto medio diario por persona;2020M12;121
Alemania;Dato base;Gasto medio diario por persona;2020M11;126
Alemania;Dato base;Gasto medio diario por persona;2020M10;92
Alemania;Dato base;Gasto medio diario por persona;2020M09;105
Alemania;Dato base;Gasto medio diario por persona;2020M08;129
Alemania;Dato base;Gasto medio diario por persona;2020M07;119
Alemania;Dato base;Gasto medio diario por persona;2020M06;119
Alemania;Dato base;Gasto medio diario por persona;2020M05;0
Alemania;Dato base;Gasto medio diario por persona;2020M04;0
Alemania;Dato base;Gasto medio diario por persona;2020M03;133
Alemania;Dato base;Gasto medio diario por persona;2020M02;135
Alemania;Dato base;Gasto medio diario por persona;2020M01;122
Alemania;Dato base;Gasto medio diario por persona;2019M12;121
Alemania;Dato base;Gasto medio diario por persona;2019M11;134
Alemania;Dato base;Gasto medio diario por persona;2019M10;138
Alemania;Dato base;Gasto medio diario por persona;2019M09;147
Alemania;Dato base;Gasto medio diario por persona;2019M08;143
Alemania;Dato base;Gasto medio diario por persona;2019M07;143
Alemania;Dato base;Gasto medio diario por persona;2019M06;145
Alemania;Dato base;Gasto medio diario por persona;2019M05;143
Alemania;Dato base;Gasto medio diario por persona;2019M04;130
Alemania;Dato base;Gasto medio diario por persona;2019M03;142
Alemania;Dato base;Gasto medio diario por persona;2019M02;130
Alemania;Dato base;Gasto medio diario por persona;2019M01;118
Alemania;Dato base;Gasto medio diario por persona;2018M12;118
Alemania;Dato base;Gasto medio diario por persona;2018M11;127
Alemania;Dato base;Gasto medio diario por persona;2018M10;131
Alemania;Dato base;Gasto medio diario por persona;2018M09;132
Alemania;Dato base;Gasto medio diario por persona;2018M08;139
Alemania;Dato base;Gasto medio diario por persona;2018M07;144
Alemania;Dato base;Gasto medio diario por persona;2018M06;144
Alemania;Dato base;Gasto medio diario por persona;2018M05;139
Alemania;Dato base;Gasto medio diario por persona;2018M04;127
Alemania;Dato base;Gasto medio diario por persona;2018M03;126
Alemania;Dato base;Gasto medio diario por persona;2018M02;118
Alemania;Dato base;Gasto medio diario por persona;2018M01;112
Alemania;Dato base;Gasto medio diario por persona;2017M12;112
Alemania;Dato base;Gasto medio diario por persona;2017M11;122
Alemania;Dato base;Gasto medio diario por persona;2017M10;127
Alemania;Dato base;Gasto medio diario por persona;2017M09;130
Alemania;Dato base;Gasto medio diario por persona;2017M08;123
Alemania;Dato base;Gasto medio diario por persona;2017M07;129
Alemania;Dato base;Gasto medio diario por persona;2017M06;124
Alemania;Dato base;Gasto medio diario por persona;2017M05;137
Alemania;Dato base;Gasto medio diario por persona;2017M04;121
Alemania;Dato base;Gasto medio diario por persona;2017M03;125
Alemania;Dato base;Gasto medio diario por persona;2017M02;106
Alemania;Dato base;Gasto medio diario por persona;2017M01;111
Alemania;Dato base;Gasto medio diario por persona;2016M12;107
Alemania;Dato base;Gasto medio diario por persona;2016M11;124
Alemania;Dato base;Gasto medio diario por persona;2016M10;121
Alemania;Dato base;Gasto medio diario por persona;2016M09;120
Alemania;Dato base;Gasto medio diario por persona;2016M08;118
Alemania;Dato base;Gasto medio diario por persona;2016M07;123
Alemania;Dato base;Gasto medio diario por persona;2016M06;124
Alemania;Dato base;Gasto medio diario por persona;2016M05;127
Alemania;Dato base;Gasto medio diario por persona;2016M04;110
Alemania;Dato base;Gasto medio diario por persona;2016M03;117
Alemania;Dato base;Gasto medio diario por persona;2016M02;115
Alemania;Dato base;Gasto medio diario por persona;2016M01;102
Alemania;Dato base;Gasto medio diario por persona;2015M12;103
Alemania;Dato base;Gasto medio diario por persona;2015M11;117
Alemania;Dato base;Gasto medio diario por persona;2015M10;102
Alemania;Dato base;Duración media de los viajes;2026M07;7,10
Alemania;Dato base;Duración media de los viajes;2026M06;6,88
Alemania;Dato base;Duración media de los viajes;2026M05;5,97
Alemania;Dato base;Duración media de los viajes;2026M04;6,95
Alemania;Dato base;Duración media de los viajes;2026M03;7,96
Alemania;Dato base;Duración media de los viajes;2026M02;9,03
Alemania;Dato base;Duración media de los viajes;2026M01;10,77
Alemania;Dato base;Duración media de los viajes;2025M12;10,59
Alemania;Dato base;Duración media de los viajes;2025M11;8,33
Alemania;Dato base;Duración media de los viajes;2025M10;7,36
Alemania;Dato base;Duración media de los viajes;2025M09;7,53
Alemania;Dato base;Duración media de los viajes;2025M08;7,86
Alemania;Dato base;Duración media de los viajes;2025M07;7,09
Alemania;Dato base;Duración media de los viajes;2025M06;6,76
Alemania;Dato base;Duración media de los viajes;2025M05;6,07
Alemania;Dato base;Duración media de los viajes;2025M04;7,43
Alemania;Dato base;Duración media de los viajes;2025M03;8,89
Alemania;Dato base;Duración media de los viajes;2025M02;8,29
Alemania;Dato base;Duración media de los viajes;2025M01;10,63
Alemania;Dato base;Duración media de los viajes;2024M12;10,26
Alemania;Dato base;Duración media de los viajes;2024M11;9,39
Alemania;Dato base;Duración media de los viajes;2024M10;7,56
Alemania;Dato base;Duración media de los viajes;2024M09;7,30
Alemania;Dato base;Duración media de los viajes;2024M08;7,58
Alemania;Dato base;Duración media de los viajes;2024M07;7,83
Alemania;Dato base;Duración media de los viajes;2024M06;6,86
Alemania;Dato base;Duración media de los viajes;2024M05;6,44
Alemania;Dato base;Duración media de los viajes;2024M04;7,36
Alemania;Dato base;Duración media de los viajes;2024M03;8,22
Alemania;Dato base;Duración media de los viajes;2024M02;9,34
Alemania;Dato base;Duración media de los viajes;2024M01;10,39
Alemania;Dato base;Duración media de los viajes;2023M12;10,74
Alemania;Dato base;Duración media de los viajes;2023M11;8,16
Alemania;Dato base;Duración media de los viajes;2023M10;7,35
Alemania;Dato base;Duración media de los viajes;2023M09;7,17
Alemania;Dato base;Duración media de los viajes;2023M08;8,17
Alemania;Dato base;Duración media de los viajes;2023M07;7,43
Alemania;Dato base;Duración media de los viajes;2023M06;6,91
Alemania;Dato base;Duración media de los viajes;2023M05;6,27
Alemania;Dato base;Duración media de los viajes;2023M04;8,31
Alemania;Dato base;Duración media de los viajes;2023M03;7,63
Alemania;Dato base;Duración media de los viajes;2023M02;8,68
Alemania;Dato base;Duración media de los viajes;2023M01;9,79
Alemania;Dato base;Duración media de los viajes;2022M12;11,28
Alemania;Dato base;Duración media de los viajes;2022M11;9,10
Alemania;Dato base;Duración media de los viajes;2022M10;7,78
Alemania;Dato base;Duración media de los viajes;2022M09;7,24
Alemania;Dato base;Duración media de los viajes;2022M08;7,46
Alemania;Dato base;Duración media de los viajes;2022M07;8,09
Alemania;Dato base;Duración media de los viajes;2022M06;7,50
Alemania;Dato base;Duración media de los viajes;2022M05;6,88
Alemania;Dato base;Duración media de los viajes;2022M04;8,14
Alemania;Dato base;Duración media de los viajes;2022M03;9,21
Alemania;Dato base;Duración media de los viajes;2022M02;9,78
Alemania;Dato base;Duración media de los viajes;2022M01;11,93
Alemania;Dato base;Duración media de los viajes;2021M12;9,94
Alemania;Dato base;Duración media de los viajes;2021M11;9,11
Alemania;Dato base;Duración media de los viajes;2021M10;8,61
Alemania;Dato base;Duración media de los viajes;2021M09;8,58
Alemania;Dato base;Duración media de los viajes;2021M08;8,18
Alemania;Dato base;Duración media de los viajes;2021M07;8,16
Alemania;Dato base;Duración media de los viajes;2021M06;7,63
Alemania;Dato base;Duración media de los viajes;2021M05;8,02
Alemania;Dato base;Duración media de los viajes;2021M04;8,88
Alemania;Dato base;Duración media de los viajes;2021M03;9,95
Alemania;Dato base;Duración media de los viajes;2021M02;12,03
Alemania;Dato base;Duración media de los viajes;2021M01;10,98
Alemania;Dato base;Duración media de los viajes;2020M12;10,68
Alemania;Dato base;Duración media de los viajes;2020M11;9,04
Alemania;Dato base;Duración media de los viajes;2020M10;11,32
Alemania;Dato base;Duración media de los viajes;2020M09;9,71
Alemania;Dato base;Duración media de los viajes;2020M08;8,52
Alemania;Dato base;Duración media de los viajes;2020M07;8,88
Alemania;Dato base;Duración media de los viajes;2020M06;7,55
Alemania;Dato base;Duración media de los viajes;2020M05;0,00
Alemania;Dato base;Duración media de los viajes;2020M04;0,00
Alemania;Dato base;Duración media de los viajes;2020M03;7,91
Alemania;Dato base;Duración media de los viajes;2020M02;8,06
Alemania;Dato base;Duración media de los viajes;2020M01;9,50
Alemania;Dato base;Duración media de los viajes;2019M12;9,54
Alemania;Dato base;Duración media de los viajes;2019M11;8,12
Alemania;Dato base;Duración media de los viajes;2019M10;7,67
Alemania;Dato base;Duración media de los viajes;2019M09;7,05
Alemania;Dato base;Duración media de los viajes;2019M08;8,01
Alemania;Dato base;Duración media de los viajes;2019M07;7,90
Alemania;Dato base;Duración media de los viajes;2019M06;6,86
Alemania;Dato base;Duración media de los viajes;2019M05;6,66
Alemania;Dato base;Duración media de los viajes;2019M04;7,36
Alemania;Dato base;Duración media de los viajes;2019M03;7,16
Alemania;Dato base;Duración media de los viajes;2019M02;7,89
Alemania;Dato base;Duración media de los viajes;2019M01;9,01
Alemania;Dato base;Duración media de los viajes;2018M12;9,15
Alemania;Dato base;Duración media de los viajes;2018M11;8,52
Alemania;Dato base;Duración media de los viajes;2018M10;7,89
Alemania;Dato base;Duración media de los viajes;2018M09;8,00
Alemania;Dato base;Duración media de los viajes;2018M08;8,28
Alemania;Dato base;Duración media de los viajes;2018M07;7,60
Alemania;Dato base;Duración media de los viajes;2018M06;6,99
Alemania;Dato base;Duración media de los viajes;2018M05;7,03
Alemania;Dato base;Duración media de los viajes;2018M04;7,67
Alemania;Dato base;Duración media de los viajes;2018M03;8,25
Alemania;Dato base;Duración media de los viajes;2018M02;8,61
