Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
04 Balears, Illes;Gasto medio por persona;Tasa de variación acumulada;2016M01;-13,63
04 Balears, Illes;Gasto medio por persona;Tasa de variación acumulada;2015M12;""
04 Balears, Illes;Gasto medio por persona;Tasa de variación acumulada;2015M11;""
04 Balears, Illes;Gasto medio por persona;Tasa de variación acumulada;2015M10;-0,10
04 Balears, Illes;Gasto medio diario por persona;Dato base;2026M07;259
04 Balears, Illes;Gasto medio diario por persona;Dato base;2026M06;230
04 Balears, Illes;Gasto medio diario por persona;Dato base;2026M05;229
04 Balears, Illes;Gasto medio diario por persona;Dato base;2026M04;205
04 Balears, Illes;Gasto medio diario por persona;Dato base;2026M03;197
04 Balears, Illes;Gasto medio diario por persona;Dato base;2026M02;177
04 Balears, Illes;Gasto medio diario por persona;Dato base;2026M01;152
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M12;160
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M11;175
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M10;195
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M09;213
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M08;221
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M07;243
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M06;218
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M05;221
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M04;196
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M03;194
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M02;177
04 Balears, Illes;Gasto medio diario por persona;Dato base;2025M01;150
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M12;141
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M11;148
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M10;188
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M09;204
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M08;215
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M07;221
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M06;208
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M05;212
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M04;191
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M03;179
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M02;169
04 Balears, Illes;Gasto medio diario por persona;Dato base;2024M01;137
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M12;139
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M11;140
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M10;178
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M09;193
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M08;190
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M07;210
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M06;196
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M05;195
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M04;180
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M03;153
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M02;148
04 Balears, Illes;Gasto medio diario por persona;Dato base;2023M01;129
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M12;134
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M11;139
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M10;162
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M09;175
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M08;182
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M07;186
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M06;180
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M05;188
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M04;147
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M03;154
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M02;127
04 Balears, Illes;Gasto medio diario por persona;Dato base;2022M01;108
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M12;119
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M11;132
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M10;155
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M09;156
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M08;167
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M07;181
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M06;158
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M05;143
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M04;126
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M03;111
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M02;104
04 Balears, Illes;Gasto medio diario por persona;Dato base;2021M01;99
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M12;112
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M11;112
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M10;107
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M09;129
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M08;150
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M07;143
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M06;124
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M05;0
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M04;0
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M03;159
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M02;137
04 Balears, Illes;Gasto medio diario por persona;Dato base;2020M01;129
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M12;138
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M11;127
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M10;153
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M09;163
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M08;168
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M07;171
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M06;159
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M05;169
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M04;152
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M03;165
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M02;146
04 Balears, Illes;Gasto medio diario por persona;Dato base;2019M01;125
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M12;138
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M11;120
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M10;143
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M09;150
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M08;162
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M07;175
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M06;155
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M05;159
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M04;152
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M03;144
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M02;126
04 Balears, Illes;Gasto medio diario por persona;Dato base;2018M01;113
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M12;123
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M11;120
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M10;131
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M09;143
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M08;144
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M07;157
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M06;145
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M05;148
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M04;138
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M03;138
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M02;130
04 Balears, Illes;Gasto medio diario por persona;Dato base;2017M01;114
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M12;108
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M11;137
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M10;122
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M09;135
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M08;138
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M07;149
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M06;137
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M05;141
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M04;129
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M03;129
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M02;131
04 Balears, Illes;Gasto medio diario por persona;Dato base;2016M01;108
04 Balears, Illes;Gasto medio diario por persona;Dato base;2015M12;107
04 Balears, Illes;Gasto medio diario por persona;Dato base;2015M11;104
04 Balears, Illes;Gasto medio diario por persona;Dato base;2015M10;116
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2026M07;6,63
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2026M06;5,41
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2026M05;3,67
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2026M04;4,54
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2026M03;1,69
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2026M02;-0,21
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2026M01;1,71
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M12;13,97
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M11;18,37
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M10;3,60
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M09;4,13
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M08;2,84
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M07;9,77
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M06;4,85
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M05;4,24
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M04;2,72
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M03;8,25
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M02;4,84
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2025M01;9,70
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M12;0,92
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M11;6,02
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M10;5,42
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M09;6,01
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M08;12,73
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M07;5,08
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M06;5,88
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M05;8,85
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M04;6,26
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M03;17,16
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M02;13,94
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2024M01;6,14
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M12;4,30
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M11;0,39
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M10;9,97
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M09;10,09
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M08;4,56
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M07;13,09
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M06;9,17
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M05;3,98
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M04;22,49
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M03;-0,46
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M02;16,48
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2023M01;19,57
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M12;12,25
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M11;4,92
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M10;4,36
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M09;12,12
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M08;9,23
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M07;2,66
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M06;14,02
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M05;31,24
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M04;16,83
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M03;38,32
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M02;22,72
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2022M01;8,68
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M12;5,91
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M11;17,96
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M10;44,51
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M09;21,08
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M08;11,32
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M07;27,07
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M06;26,81
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M05;..
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M04;..
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M03;-30,30
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M02;-24,63
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2021M01;-23,41
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M12;-18,73
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M11;-11,78
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M10;-29,53
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M09;-21,06
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M08;-10,70
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M07;-16,38
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M06;-21,72
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M05;-100,00
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M04;-100,00
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M03;-3,48
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M02;-5,96
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2020M01;3,42
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M12;0,14
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M11;6,53
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M10;6,81
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M09;8,61
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M08;3,48
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M07;-2,79
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M06;2,73
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M05;6,42
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M04;-0,06
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M03;14,83
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M02;16,38
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2019M01;10,47
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M12;12,03
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M11;0,01
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M10;8,95
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M09;5,40
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M08;12,18
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M07;11,62
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M06;6,89
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M05;7,06
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M04;10,04
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M03;4,14
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M02;-3,35
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2018M01;-1,01
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M12;14,41
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M11;-12,46
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M10;7,46
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M09;5,46
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M08;4,46
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M07;5,14
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M06;5,61
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M05;5,54
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M04;6,90
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M03;6,70
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M02;-0,53
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2017M01;5,58
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M12;0,66
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M11;31,70
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M10;5,39
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M09;6,42
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M08;3,63
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M07;7,64
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M06;6,33
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M05;3,26
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M04;0,19
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M03;10,65
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M02;27,47
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2016M01;11,86
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2015M12;-1,89
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2015M11;-11,21
04 Balears, Illes;Gasto medio diario por persona;Tasa de variación anual;2015M10;-2,00
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2026M07;230
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2026M06;217
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2026M05;210
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2026M04;195
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2026M03;182
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2026M02;166
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2026M01;152
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M12;214
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M11;215
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M10;215
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M09;218
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M08;219
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M07;218
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M06;208
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M05;203
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M04;189
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M03;180
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M02;165
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2025M01;150
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M12;203
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M11;204
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M10;205
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M09;208
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M08;208
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M07;206
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M06;199
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M05;195
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M04;180
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M03;167
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M02;154
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2024M01;137
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M12;189
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M11;190
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M10;191
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M09;192
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M08;192
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M07;193
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M06;185
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M05;179
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M04;166
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M03;147
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M02;139
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2023M01;129
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M12;173
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M11;174
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M10;174
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M09;176
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M08;176
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M07;174
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M06;169
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M05;162
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M04;143
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M03;137
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M02;119
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2022M01;108
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M12;159
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M11;160
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M10;161
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M09;162
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M08;164
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M07;163
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M06;145
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M05;133
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M04;117
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M03;108
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M02;101
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2021M01;99
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M12;140
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M11;140
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M10;141
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M09;143
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M08;144
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M07;141
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M06;139
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M05;140
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M04;140
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M03;140
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M02;134
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2020M01;129
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M12;162
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M11;162
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M10;163
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M09;164
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M08;164
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M07;163
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M06;159
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M05;160
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M04;151
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M03;150
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M02;136
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2019M01;125
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M12;156
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M11;156
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M10;157
04 Balears, Illes;Gasto medio diario por persona;Acumulado en lo que va de año;2018M09;159
