Via de acceso;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Puerto;Dato base;Gasto medio por persona;2018M12;1.060
Puerto;Dato base;Gasto medio por persona;2018M11;1.243
Puerto;Dato base;Gasto medio por persona;2018M10;1.124
Puerto;Dato base;Gasto medio por persona;2018M09;1.163
Puerto;Dato base;Gasto medio por persona;2018M08;901
Puerto;Dato base;Gasto medio por persona;2018M07;1.149
Puerto;Dato base;Gasto medio por persona;2018M06;1.180
Puerto;Dato base;Gasto medio por persona;2018M05;1.173
Puerto;Dato base;Gasto medio por persona;2018M04;945
Puerto;Dato base;Gasto medio por persona;2018M03;1.253
Puerto;Dato base;Gasto medio por persona;2018M02;1.138
Puerto;Dato base;Gasto medio por persona;2018M01;983
Puerto;Dato base;Gasto medio por persona;2017M12;1.475
Puerto;Dato base;Gasto medio por persona;2017M11;1.190
Puerto;Dato base;Gasto medio por persona;2017M10;1.170
Puerto;Dato base;Gasto medio por persona;2017M09;1.143
Puerto;Dato base;Gasto medio por persona;2017M08;1.114
Puerto;Dato base;Gasto medio por persona;2017M07;948
Puerto;Dato base;Gasto medio por persona;2017M06;1.334
Puerto;Dato base;Gasto medio por persona;2017M05;1.203
Puerto;Dato base;Gasto medio por persona;2017M04;870
Puerto;Dato base;Gasto medio por persona;2017M03;1.060
Puerto;Dato base;Gasto medio por persona;2017M02;902
Puerto;Dato base;Gasto medio por persona;2017M01;815
Puerto;Dato base;Gasto medio por persona;2016M12;1.119
Puerto;Dato base;Gasto medio por persona;2016M11;1.078
Puerto;Dato base;Gasto medio por persona;2016M10;1.414
Puerto;Dato base;Gasto medio por persona;2016M09;1.230
Puerto;Dato base;Gasto medio por persona;2016M08;1.190
Puerto;Dato base;Gasto medio por persona;2016M07;801
Puerto;Dato base;Gasto medio por persona;2016M06;1.355
Puerto;Dato base;Gasto medio por persona;2016M05;1.521
Puerto;Dato base;Gasto medio por persona;2016M04;1.049
Puerto;Dato base;Gasto medio por persona;2016M03;875
Puerto;Dato base;Gasto medio por persona;2016M02;1.030
Puerto;Dato base;Gasto medio por persona;2016M01;896
Puerto;Dato base;Gasto medio por persona;2015M12;1.358
Puerto;Dato base;Gasto medio por persona;2015M11;994
Puerto;Dato base;Gasto medio por persona;2015M10;1.105
Puerto;Dato base;Gasto medio diario por persona;2026M07;261
Puerto;Dato base;Gasto medio diario por persona;2026M06;280
Puerto;Dato base;Gasto medio diario por persona;2026M05;288
Puerto;Dato base;Gasto medio diario por persona;2026M04;176
Puerto;Dato base;Gasto medio diario por persona;2026M03;234
Puerto;Dato base;Gasto medio diario por persona;2026M02;168
Puerto;Dato base;Gasto medio diario por persona;2026M01;186
Puerto;Dato base;Gasto medio diario por persona;2025M12;169
Puerto;Dato base;Gasto medio diario por persona;2025M11;212
Puerto;Dato base;Gasto medio diario por persona;2025M10;248
Puerto;Dato base;Gasto medio diario por persona;2025M09;239
Puerto;Dato base;Gasto medio diario por persona;2025M08;190
Puerto;Dato base;Gasto medio diario por persona;2025M07;179
Puerto;Dato base;Gasto medio diario por persona;2025M06;208
Puerto;Dato base;Gasto medio diario por persona;2025M05;208
Puerto;Dato base;Gasto medio diario por persona;2025M04;194
Puerto;Dato base;Gasto medio diario por persona;2025M03;171
Puerto;Dato base;Gasto medio diario por persona;2025M02;165
Puerto;Dato base;Gasto medio diario por persona;2025M01;160
Puerto;Dato base;Gasto medio diario por persona;2024M12;152
Puerto;Dato base;Gasto medio diario por persona;2024M11;151
Puerto;Dato base;Gasto medio diario por persona;2024M10;201
Puerto;Dato base;Gasto medio diario por persona;2024M09;188
Puerto;Dato base;Gasto medio diario por persona;2024M08;194
Puerto;Dato base;Gasto medio diario por persona;2024M07;196
Puerto;Dato base;Gasto medio diario por persona;2024M06;187
Puerto;Dato base;Gasto medio diario por persona;2024M05;208
Puerto;Dato base;Gasto medio diario por persona;2024M04;207
Puerto;Dato base;Gasto medio diario por persona;2024M03;197
Puerto;Dato base;Gasto medio diario por persona;2024M02;179
Puerto;Dato base;Gasto medio diario por persona;2024M01;133
Puerto;Dato base;Gasto medio diario por persona;2023M12;153
Puerto;Dato base;Gasto medio diario por persona;2023M11;156
Puerto;Dato base;Gasto medio diario por persona;2023M10;222
Puerto;Dato base;Gasto medio diario por persona;2023M09;134
Puerto;Dato base;Gasto medio diario por persona;2023M08;189
Puerto;Dato base;Gasto medio diario por persona;2023M07;207
Puerto;Dato base;Gasto medio diario por persona;2023M06;139
Puerto;Dato base;Gasto medio diario por persona;2023M05;161
Puerto;Dato base;Gasto medio diario por persona;2023M04;156
Puerto;Dato base;Gasto medio diario por persona;2023M03;136
Puerto;Dato base;Gasto medio diario por persona;2023M02;144
Puerto;Dato base;Gasto medio diario por persona;2023M01;144
Puerto;Dato base;Gasto medio diario por persona;2022M12;137
Puerto;Dato base;Gasto medio diario por persona;2022M11;136
Puerto;Dato base;Gasto medio diario por persona;2022M10;180
Puerto;Dato base;Gasto medio diario por persona;2022M09;158
Puerto;Dato base;Gasto medio diario por persona;2022M08;154
Puerto;Dato base;Gasto medio diario por persona;2022M07;178
Puerto;Dato base;Gasto medio diario por persona;2022M06;193
Puerto;Dato base;Gasto medio diario por persona;2022M05;173
Puerto;Dato base;Gasto medio diario por persona;2022M04;190
Puerto;Dato base;Gasto medio diario por persona;2022M03;147
Puerto;Dato base;Gasto medio diario por persona;2022M02;145
Puerto;Dato base;Gasto medio diario por persona;2022M01;112
Puerto;Dato base;Gasto medio diario por persona;2021M12;149
Puerto;Dato base;Gasto medio diario por persona;2021M11;141
Puerto;Dato base;Gasto medio diario por persona;2021M10;152
Puerto;Dato base;Gasto medio diario por persona;2021M09;113
Puerto;Dato base;Gasto medio diario por persona;2021M08;108
Puerto;Dato base;Gasto medio diario por persona;2021M07;146
Puerto;Dato base;Gasto medio diario por persona;2021M06;121
Puerto;Dato base;Gasto medio diario por persona;2021M05;172
Puerto;Dato base;Gasto medio diario por persona;2021M04;149
Puerto;Dato base;Gasto medio diario por persona;2021M03;130
Puerto;Dato base;Gasto medio diario por persona;2021M02;138
Puerto;Dato base;Gasto medio diario por persona;2021M01;104
Puerto;Dato base;Gasto medio diario por persona;2020M12;117
Puerto;Dato base;Gasto medio diario por persona;2020M11;114
Puerto;Dato base;Gasto medio diario por persona;2020M10;134
Puerto;Dato base;Gasto medio diario por persona;2020M09;109
Puerto;Dato base;Gasto medio diario por persona;2020M08;104
Puerto;Dato base;Gasto medio diario por persona;2020M07;137
Puerto;Dato base;Gasto medio diario por persona;2020M06;159
Puerto;Dato base;Gasto medio diario por persona;2020M05;0
Puerto;Dato base;Gasto medio diario por persona;2020M04;0
Puerto;Dato base;Gasto medio diario por persona;2020M03;122
Puerto;Dato base;Gasto medio diario por persona;2020M02;141
Puerto;Dato base;Gasto medio diario por persona;2020M01;127
Puerto;Dato base;Gasto medio diario por persona;2019M12;145
Puerto;Dato base;Gasto medio diario por persona;2019M11;156
Puerto;Dato base;Gasto medio diario por persona;2019M10;180
Puerto;Dato base;Gasto medio diario por persona;2019M09;135
Puerto;Dato base;Gasto medio diario por persona;2019M08;160
Puerto;Dato base;Gasto medio diario por persona;2019M07;177
Puerto;Dato base;Gasto medio diario por persona;2019M06;210
Puerto;Dato base;Gasto medio diario por persona;2019M05;211
Puerto;Dato base;Gasto medio diario por persona;2019M04;174
Puerto;Dato base;Gasto medio diario por persona;2019M03;150
Puerto;Dato base;Gasto medio diario por persona;2019M02;139
Puerto;Dato base;Gasto medio diario por persona;2019M01;139
Puerto;Dato base;Gasto medio diario por persona;2018M12;129
Puerto;Dato base;Gasto medio diario por persona;2018M11;158
Puerto;Dato base;Gasto medio diario por persona;2018M10;241
Puerto;Dato base;Gasto medio diario por persona;2018M09;162
Puerto;Dato base;Gasto medio diario por persona;2018M08;153
Puerto;Dato base;Gasto medio diario por persona;2018M07;258
Puerto;Dato base;Gasto medio diario por persona;2018M06;183
Puerto;Dato base;Gasto medio diario por persona;2018M05;139
Puerto;Dato base;Gasto medio diario por persona;2018M04;183
Puerto;Dato base;Gasto medio diario por persona;2018M03;143
Puerto;Dato base;Gasto medio diario por persona;2018M02;181
Puerto;Dato base;Gasto medio diario por persona;2018M01;153
Puerto;Dato base;Gasto medio diario por persona;2017M12;173
Puerto;Dato base;Gasto medio diario por persona;2017M11;159
Puerto;Dato base;Gasto medio diario por persona;2017M10;162
Puerto;Dato base;Gasto medio diario por persona;2017M09;162
Puerto;Dato base;Gasto medio diario por persona;2017M08;140
Puerto;Dato base;Gasto medio diario por persona;2017M07;177
Puerto;Dato base;Gasto medio diario por persona;2017M06;192
Puerto;Dato base;Gasto medio diario por persona;2017M05;135
Puerto;Dato base;Gasto medio diario por persona;2017M04;145
Puerto;Dato base;Gasto medio diario por persona;2017M03;130
Puerto;Dato base;Gasto medio diario por persona;2017M02;113
Puerto;Dato base;Gasto medio diario por persona;2017M01;131
Puerto;Dato base;Gasto medio diario por persona;2016M12;121
Puerto;Dato base;Gasto medio diario por persona;2016M11;127
Puerto;Dato base;Gasto medio diario por persona;2016M10;158
Puerto;Dato base;Gasto medio diario por persona;2016M09;153
Puerto;Dato base;Gasto medio diario por persona;2016M08;144
Puerto;Dato base;Gasto medio diario por persona;2016M07;157
Puerto;Dato base;Gasto medio diario por persona;2016M06;114
Puerto;Dato base;Gasto medio diario por persona;2016M05;162
Puerto;Dato base;Gasto medio diario por persona;2016M04;145
Puerto;Dato base;Gasto medio diario por persona;2016M03;120
Puerto;Dato base;Gasto medio diario por persona;2016M02;116
Puerto;Dato base;Gasto medio diario por persona;2016M01;149
Puerto;Dato base;Gasto medio diario por persona;2015M12;100
Puerto;Dato base;Gasto medio diario por persona;2015M11;118
Puerto;Dato base;Gasto medio diario por persona;2015M10;128
Puerto;Dato base;Duración media de los viajes;2026M07;4,17
Puerto;Dato base;Duración media de los viajes;2026M06;4,66
Puerto;Dato base;Duración media de los viajes;2026M05;4,29
Puerto;Dato base;Duración media de los viajes;2026M04;4,95
Puerto;Dato base;Duración media de los viajes;2026M03;5,02
Puerto;Dato base;Duración media de los viajes;2026M02;5,98
Puerto;Dato base;Duración media de los viajes;2026M01;5,84
Puerto;Dato base;Duración media de los viajes;2025M12;5,70
Puerto;Dato base;Duración media de los viajes;2025M11;4,37
Puerto;Dato base;Duración media de los viajes;2025M10;4,16
Puerto;Dato base;Duración media de los viajes;2025M09;4,56
Puerto;Dato base;Duración media de los viajes;2025M08;4,78
Puerto;Dato base;Duración media de los viajes;2025M07;4,18
Puerto;Dato base;Duración media de los viajes;2025M06;4,88
Puerto;Dato base;Duración media de los viajes;2025M05;4,52
Puerto;Dato base;Duración media de los viajes;2025M04;4,63
Puerto;Dato base;Duración media de los viajes;2025M03;4,57
Puerto;Dato base;Duración media de los viajes;2025M02;5,85
Puerto;Dato base;Duración media de los viajes;2025M01;6,51
Puerto;Dato base;Duración media de los viajes;2024M12;6,95
Puerto;Dato base;Duración media de los viajes;2024M11;5,14
Puerto;Dato base;Duración media de los viajes;2024M10;4,24
Puerto;Dato base;Duración media de los viajes;2024M09;4,39
Puerto;Dato base;Duración media de los viajes;2024M08;5,73
Puerto;Dato base;Duración media de los viajes;2024M07;4,16
Puerto;Dato base;Duración media de los viajes;2024M06;4,31
Puerto;Dato base;Duración media de los viajes;2024M05;4,70
Puerto;Dato base;Duración media de los viajes;2024M04;4,43
Puerto;Dato base;Duración media de los viajes;2024M03;3,97
Puerto;Dato base;Duración media de los viajes;2024M02;6,05
Puerto;Dato base;Duración media de los viajes;2024M01;7,65
Puerto;Dato base;Duración media de los viajes;2023M12;6,71
Puerto;Dato base;Duración media de los viajes;2023M11;4,89
Puerto;Dato base;Duración media de los viajes;2023M10;4,49
Puerto;Dato base;Duración media de los viajes;2023M09;4,91
Puerto;Dato base;Duración media de los viajes;2023M08;5,92
Puerto;Dato base;Duración media de los viajes;2023M07;4,42
Puerto;Dato base;Duración media de los viajes;2023M06;3,97
Puerto;Dato base;Duración media de los viajes;2023M05;4,56
Puerto;Dato base;Duración media de los viajes;2023M04;5,10
Puerto;Dato base;Duración media de los viajes;2023M03;7,27
Puerto;Dato base;Duración media de los viajes;2023M02;8,17
Puerto;Dato base;Duración media de los viajes;2023M01;7,63
Puerto;Dato base;Duración media de los viajes;2022M12;7,54
Puerto;Dato base;Duración media de los viajes;2022M11;5,61
Puerto;Dato base;Duración media de los viajes;2022M10;4,78
Puerto;Dato base;Duración media de los viajes;2022M09;5,28
Puerto;Dato base;Duración media de los viajes;2022M08;8,24
Puerto;Dato base;Duración media de los viajes;2022M07;4,98
Puerto;Dato base;Duración media de los viajes;2022M06;5,15
Puerto;Dato base;Duración media de los viajes;2022M05;5,45
Puerto;Dato base;Duración media de los viajes;2022M04;5,88
Puerto;Dato base;Duración media de los viajes;2022M03;11,18
Puerto;Dato base;Duración media de los viajes;2022M02;15,72
Puerto;Dato base;Duración media de los viajes;2022M01;11,60
Puerto;Dato base;Duración media de los viajes;2021M12;10,24
Puerto;Dato base;Duración media de los viajes;2021M11;8,99
Puerto;Dato base;Duración media de los viajes;2021M10;5,53
Puerto;Dato base;Duración media de los viajes;2021M09;7,67
Puerto;Dato base;Duración media de los viajes;2021M08;13,97
Puerto;Dato base;Duración media de los viajes;2021M07;9,55
Puerto;Dato base;Duración media de los viajes;2021M06;11,08
Puerto;Dato base;Duración media de los viajes;2021M05;7,49
Puerto;Dato base;Duración media de los viajes;2021M04;9,74
Puerto;Dato base;Duración media de los viajes;2021M03;19,60
Puerto;Dato base;Duración media de los viajes;2021M02;13,58
Puerto;Dato base;Duración media de los viajes;2021M01;12,37
Puerto;Dato base;Duración media de los viajes;2020M12;11,29
Puerto;Dato base;Duración media de los viajes;2020M11;10,06
Puerto;Dato base;Duración media de los viajes;2020M10;9,42
Puerto;Dato base;Duración media de los viajes;2020M09;10,90
Puerto;Dato base;Duración media de los viajes;2020M08;21,08
Puerto;Dato base;Duración media de los viajes;2020M07;6,44
Puerto;Dato base;Duración media de los viajes;2020M06;11,24
Puerto;Dato base;Duración media de los viajes;2020M05;0,00
Puerto;Dato base;Duración media de los viajes;2020M04;0,00
Puerto;Dato base;Duración media de los viajes;2020M03;8,64
Puerto;Dato base;Duración media de los viajes;2020M02;5,87
Puerto;Dato base;Duración media de los viajes;2020M01;6,46
Puerto;Dato base;Duración media de los viajes;2019M12;5,99
Puerto;Dato base;Duración media de los viajes;2019M11;4,42
Puerto;Dato base;Duración media de los viajes;2019M10;4,22
Puerto;Dato base;Duración media de los viajes;2019M09;7,21
Puerto;Dato base;Duración media de los viajes;2019M08;5,86
Puerto;Dato base;Duración media de los viajes;2019M07;4,56
Puerto;Dato base;Duración media de los viajes;2019M06;4,19
Puerto;Dato base;Duración media de los viajes;2019M05;5,24
Puerto;Dato base;Duración media de los viajes;2019M04;5,56
Puerto;Dato base;Duración media de los viajes;2019M03;6,77
Puerto;Dato base;Duración media de los viajes;2019M02;5,47
Puerto;Dato base;Duración media de los viajes;2019M01;7,07
Puerto;Dato base;Duración media de los viajes;2018M12;8,24
Puerto;Dato base;Duración media de los viajes;2018M11;7,89
Puerto;Dato base;Duración media de los viajes;2018M10;4,67
Puerto;Dato base;Duración media de los viajes;2018M09;7,16
Puerto;Dato base;Duración media de los viajes;2018M08;5,91
Puerto;Dato base;Duración media de los viajes;2018M07;4,46
Puerto;Dato base;Duración media de los viajes;2018M06;6,45
Puerto;Dato base;Duración media de los viajes;2018M05;8,44
Puerto;Dato base;Duración media de los viajes;2018M04;5,17
Puerto;Dato base;Duración media de los viajes;2018M03;8,79
Puerto;Dato base;Duración media de los viajes;2018M02;6,29
Puerto;Dato base;Duración media de los viajes;2018M01;6,44
Puerto;Dato base;Duración media de los viajes;2017M12;8,52
Puerto;Dato base;Duración media de los viajes;2017M11;7,48
Puerto;Dato base;Duración media de los viajes;2017M10;7,24
Puerto;Dato base;Duración media de los viajes;2017M09;7,05
Puerto;Dato base;Duración media de los viajes;2017M08;7,98
Puerto;Dato base;Duración media de los viajes;2017M07;5,36
Puerto;Dato base;Duración media de los viajes;2017M06;6,96
Puerto;Dato base;Duración media de los viajes;2017M05;8,92
Puerto;Dato base;Duración media de los viajes;2017M04;6,02
Puerto;Dato base;Duración media de los viajes;2017M03;8,16
Puerto;Dato base;Duración media de los viajes;2017M02;7,99
Puerto;Dato base;Duración media de los viajes;2017M01;6,22
Puerto;Dato base;Duración media de los viajes;2016M12;9,28
Puerto;Dato base;Duración media de los viajes;2016M11;8,50
Puerto;Dato base;Duración media de los viajes;2016M10;8,93
Puerto;Dato base;Duración media de los viajes;2016M09;8,06
Puerto;Dato base;Duración media de los viajes;2016M08;8,27
Puerto;Dato base;Duración media de los viajes;2016M07;5,10
Puerto;Dato base;Duración media de los viajes;2016M06;11,86
Puerto;Dato base;Duración media de los viajes;2016M05;9,38
Puerto;Dato base;Duración media de los viajes;2016M04;7,25
Puerto;Dato base;Duración media de los viajes;2016M03;7,27
Puerto;Dato base;Duración media de los viajes;2016M02;8,86
Puerto;Dato base;Duración media de los viajes;2016M01;6,03
Puerto;Dato base;Duración media de los viajes;2015M12;13,58
Puerto;Dato base;Duración media de los viajes;2015M11;8,39
Puerto;Dato base;Duración media de los viajes;2015M10;8,62
Puerto;Tasa de variación anual;Gasto total;2026M07;127,61
Puerto;Tasa de variación anual;Gasto total;2026M06;98,06
Puerto;Tasa de variación anual;Gasto total;2026M05;157,37
Puerto;Tasa de variación anual;Gasto total;2026M04;-0,92
Puerto;Tasa de variación anual;Gasto total;2026M03;119,05
Puerto;Tasa de variación anual;Gasto total;2026M02;101,87
Puerto;Tasa de variación anual;Gasto total;2026M01;25,51
Puerto;Tasa de variación anual;Gasto total;2025M12;6,10
Puerto;Tasa de variación anual;Gasto total;2025M11;11,87
Puerto;Tasa de variación anual;Gasto total;2025M10;24,98
Puerto;Tasa de variación anual;Gasto total;2025M09;-4,56
Puerto;Tasa de variación anual;Gasto total;2025M08;-7,12
Puerto;Tasa de variación anual;Gasto total;2025M07;-45,13
Puerto;Tasa de variación anual;Gasto total;2025M06;-29,44
Puerto;Tasa de variación anual;Gasto total;2025M05;-0,35
Puerto;Tasa de variación anual;Gasto total;2025M04;22,23
Puerto;Tasa de variación anual;Gasto total;2025M03;-35,98
Puerto;Tasa de variación anual;Gasto total;2025M02;-44,02
Puerto;Tasa de variación anual;Gasto total;2025M01;-6,50
Puerto;Tasa de variación anual;Gasto total;2024M12;-56,06
Puerto;Tasa de variación anual;Gasto total;2024M11;-21,99
Puerto;Tasa de variación anual;Gasto total;2024M10;-1,44
Puerto;Tasa de variación anual;Gasto total;2024M09;60,08
Puerto;Tasa de variación anual;Gasto total;2024M08;-3,76
Puerto;Tasa de variación anual;Gasto total;2024M07;40,26
Puerto;Tasa de variación anual;Gasto total;2024M06;76,58
Puerto;Tasa de variación anual;Gasto total;2024M05;42,63
Puerto;Tasa de variación anual;Gasto total;2024M04;26,76
Puerto;Tasa de variación anual;Gasto total;2024M03;19,20
Puerto;Tasa de variación anual;Gasto total;2024M02;129,51
Puerto;Tasa de variación anual;Gasto total;2024M01;15,70
Puerto;Tasa de variación anual;Gasto total;2023M12;332,96
Puerto;Tasa de variación anual;Gasto total;2023M11;100,03
Puerto;Tasa de variación anual;Gasto total;2023M10;109,60
Puerto;Tasa de variación anual;Gasto total;2023M09;23,65
Puerto;Tasa de variación anual;Gasto total;2023M08;43,04
Puerto;Tasa de variación anual;Gasto total;2023M07;23,81
Puerto;Tasa de variación anual;Gasto total;2023M06;-20,70
Puerto;Tasa de variación anual;Gasto total;2023M05;6,26
Puerto;Tasa de variación anual;Gasto total;2023M04;12,24
Puerto;Tasa de variación anual;Gasto total;2023M03;-25,58
Puerto;Tasa de variación anual;Gasto total;2023M02;-14,83
Puerto;Tasa de variación anual;Gasto total;2023M01;119,98
Puerto;Tasa de variación anual;Gasto total;2022M12;9,15
Puerto;Tasa de variación anual;Gasto total;2022M11;1,60
Puerto;Tasa de variación anual;Gasto total;2022M10;79,22
Puerto;Tasa de variación anual;Gasto total;2022M09;261,58
Puerto;Tasa de variación anual;Gasto total;2022M08;889,18
Puerto;Tasa de variación anual;Gasto total;2022M07;556,92
Puerto;Tasa de variación anual;Gasto total;2022M06;918,17
Puerto;Tasa de variación anual;Gasto total;2022M05;1.809,20
Puerto;Tasa de variación anual;Gasto total;2022M04;1.387,39
Puerto;Tasa de variación anual;Gasto total;2022M03;691,61
Puerto;Tasa de variación anual;Gasto total;2022M02;674,49
Puerto;Tasa de variación anual;Gasto total;2022M01;537,64
Puerto;Tasa de variación anual;Gasto total;2021M12;764,89
Puerto;Tasa de variación anual;Gasto total;2021M11;977,69
Puerto;Tasa de variación anual;Gasto total;2021M10;488,40
Puerto;Tasa de variación anual;Gasto total;2021M09;360,64
Puerto;Tasa de variación anual;Gasto total;2021M08;87,11
Puerto;Tasa de variación anual;Gasto total;2021M07;128,64
Puerto;Tasa de variación anual;Gasto total;2021M06;212,07
Puerto;Tasa de variación anual;Gasto total;2021M05;..
Puerto;Tasa de variación anual;Gasto total;2021M04;..
Puerto;Tasa de variación anual;Gasto total;2021M03;-73,15
Puerto;Tasa de variación anual;Gasto total;2021M02;-90,87
Puerto;Tasa de variación anual;Gasto total;2021M01;-94,88
Puerto;Tasa de variación anual;Gasto total;2020M12;-94,30
Puerto;Tasa de variación anual;Gasto total;2020M11;-94,37
Puerto;Tasa de variación anual;Gasto total;2020M10;-92,72
Puerto;Tasa de variación anual;Gasto total;2020M09;-96,77
Puerto;Tasa de variación anual;Gasto total;2020M08;-94,90
Puerto;Tasa de variación anual;Gasto total;2020M07;-92,22
Puerto;Tasa de variación anual;Gasto total;2020M06;-96,59
Puerto;Tasa de variación anual;Gasto total;2020M05;-100,00
Puerto;Tasa de variación anual;Gasto total;2020M04;-100,00
Puerto;Tasa de variación anual;Gasto total;2020M03;-70,14
Puerto;Tasa de variación anual;Gasto total;2020M02;37,79
Puerto;Tasa de variación anual;Gasto total;2020M01;-9,96
Puerto;Tasa de variación anual;Gasto total;2019M12;-18,26
Puerto;Tasa de variación anual;Gasto total;2019M11;-38,76
Puerto;Tasa de variación anual;Gasto total;2019M10;-50,74
Puerto;Tasa de variación anual;Gasto total;2019M09;-36,88
Puerto;Tasa de variación anual;Gasto total;2019M08;-0,32
Puerto;Tasa de variación anual;Gasto total;2019M07;-52,59
Puerto;Tasa de variación anual;Gasto total;2019M06;-34,70
Puerto;Tasa de variación anual;Gasto total;2019M05;-38,15
Puerto;Tasa de variación anual;Gasto total;2019M04;-0,31
Puerto;Tasa de variación anual;Gasto total;2019M03;19,26
Puerto;Tasa de variación anual;Gasto total;2019M02;-47,57
Puerto;Tasa de variación anual;Gasto total;2019M01;9,06
Puerto;Tasa de variación anual;Gasto total;2018M12;-39,10
Puerto;Tasa de variación anual;Gasto total;2018M11;-34,59
Puerto;Tasa de variación anual;Gasto total;2018M10;40,51
Puerto;Tasa de variación anual;Gasto total;2018M09;3,88
Puerto;Tasa de variación anual;Gasto total;2018M08;-22,94
Puerto;Tasa de variación anual;Gasto total;2018M07;80,98
Puerto;Tasa de variación anual;Gasto total;2018M06;80,71
Puerto;Tasa de variación anual;Gasto total;2018M05;-16,10
Puerto;Tasa de variación anual;Gasto total;2018M04;-3,63
Puerto;Tasa de variación anual;Gasto total;2018M03;12,08
Puerto;Tasa de variación anual;Gasto total;2018M02;3,96
Puerto;Tasa de variación anual;Gasto total;2018M01;-16,81
Puerto;Tasa de variación anual;Gasto total;2017M12;46,11
Puerto;Tasa de variación anual;Gasto total;2017M11;74,94
Puerto;Tasa de variación anual;Gasto total;2017M10;-13,40
Puerto;Tasa de variación anual;Gasto total;2017M09;40,87
Puerto;Tasa de variación anual;Gasto total;2017M08;-26,57
Puerto;Tasa de variación anual;Gasto total;2017M07;38,01
Puerto;Tasa de variación anual;Gasto total;2017M06;14,32
Puerto;Tasa de variación anual;Gasto total;2017M05;59,72
Puerto;Tasa de variación anual;Gasto total;2017M04;20,22
Puerto;Tasa de variación anual;Gasto total;2017M03;49,54
Puerto;Tasa de variación anual;Gasto total;2017M02;-2,52
Puerto;Tasa de variación anual;Gasto total;2017M01;10,89
Puerto;Tasa de variación anual;Gasto total;2016M12;-6,94
Puerto;Tasa de variación anual;Gasto total;2016M11;23,67
Puerto;Tasa de variación anual;Gasto total;2016M10;53,00
Puerto;Tasa de variación anual;Gasto total;2016M09;21,81
Puerto;Tasa de variación anual;Gasto total;2016M08;21,79
Puerto;Tasa de variación anual;Gasto total;2016M07;-16,61
Puerto;Tasa de variación anual;Gasto total;2016M06;-1,79
Puerto;Tasa de variación anual;Gasto total;2016M05;79,38
Puerto;Tasa de variación anual;Gasto total;2016M04;10,54
Puerto;Tasa de variación anual;Gasto total;2016M03;-16,09
Puerto;Tasa de variación anual;Gasto total;2016M02;9,67
Puerto;Tasa de variación anual;Gasto total;2016M01;-7,90
Puerto;Tasa de variación anual;Gasto total;2015M12;41,26
Puerto;Tasa de variación anual;Gasto total;2015M11;29,70
Puerto;Tasa de variación anual;Gasto total;2015M10;27,65
Puerto;Tasa de variación anual;Gasto medio por persona;2026M07;45,58
Puerto;Tasa de variación anual;Gasto medio por persona;2026M06;28,51
Puerto;Tasa de variación anual;Gasto medio por persona;2026M05;31,34
Puerto;Tasa de variación anual;Gasto medio por persona;2026M04;-2,67
Puerto;Tasa de variación anual;Gasto medio por persona;2026M03;51,06
Puerto;Tasa de variación anual;Gasto medio por persona;2026M02;3,47
Puerto;Tasa de variación anual;Gasto medio por persona;2026M01;4,11
Puerto;Tasa de variación anual;Gasto medio por persona;2025M12;-8,25
Puerto;Tasa de variación anual;Gasto medio por persona;2025M11;19,54
Puerto;Tasa de variación anual;Gasto medio por persona;2025M10;20,99
Puerto;Tasa de variación anual;Gasto medio por persona;2025M09;32,09
Puerto;Tasa de variación anual;Gasto medio por persona;2025M08;-18,38
Puerto;Tasa de variación anual;Gasto medio por persona;2025M07;-8,24
Puerto;Tasa de variación anual;Gasto medio por persona;2025M06;26,22
Puerto;Tasa de variación anual;Gasto medio por persona;2025M05;-3,86
Puerto;Tasa de variación anual;Gasto medio por persona;2025M04;-1,86
Puerto;Tasa de variación anual;Gasto medio por persona;2025M03;-0,11
Puerto;Tasa de variación anual;Gasto medio por persona;2025M02;-10,45
Puerto;Tasa de variación anual;Gasto medio por persona;2025M01;2,24
Puerto;Tasa de variación anual;Gasto medio por persona;2024M12;2,47
Puerto;Tasa de variación anual;Gasto medio por persona;2024M11;1,58
Puerto;Tasa de variación anual;Gasto medio por persona;2024M10;-14,31
Puerto;Tasa de variación anual;Gasto medio por persona;2024M09;25,73
Puerto;Tasa de variación anual;Gasto medio por persona;2024M08;-0,49
Puerto;Tasa de variación anual;Gasto medio por persona;2024M07;-10,91
Puerto;Tasa de variación anual;Gasto medio por persona;2024M06;45,86
Puerto;Tasa de variación anual;Gasto medio por persona;2024M05;33,24
Puerto;Tasa de variación anual;Gasto medio por persona;2024M04;15,33
Puerto;Tasa de variación anual;Gasto medio por persona;2024M03;-20,94
Puerto;Tasa de variación anual;Gasto medio por persona;2024M02;-7,78
Puerto;Tasa de variación anual;Gasto medio por persona;2024M01;-7,14
Puerto;Tasa de variación anual;Gasto medio por persona;2023M12;-0,60
Puerto;Tasa de variación anual;Gasto medio por persona;2023M11;-0,38
Puerto;Tasa de variación anual;Gasto medio por persona;2023M10;15,90
Puerto;Tasa de variación anual;Gasto medio por persona;2023M09;-21,26
Puerto;Tasa de variación anual;Gasto medio por persona;2023M08;-12,28
Puerto;Tasa de variación anual;Gasto medio por persona;2023M07;3,39
Puerto;Tasa de variación anual;Gasto medio por persona;2023M06;-44,43
Puerto;Tasa de variación anual;Gasto medio por persona;2023M05;-22,14
